"Date","P","E","MVI_Q_sim"
2004-09-02,0,2.113637,0
2004-09-03,0,2.284305,0
2004-09-04,0,2.757288,0
2004-09-05,0,2.852728,0
2004-09-06,0,2.882288,0
2004-09-07,0,2.759263,0
2004-09-08,0,2.680601,0
2004-09-09,0,2.677378,0
2004-09-10,0,2.387042,0
2004-09-11,0,2.376496,0
2004-09-12,2.56,2.716567,8.74970463975867e-07
2004-09-13,0.4,2.149183,7.67371379986839e-06
2004-09-14,0,2.107571,8.450916104833e-06
2004-09-15,1.41,1.976001,1.28043650787791e-05
2004-09-16,0.28,1.704098,1.96979557310075e-05
2004-09-17,0,1.448402,2.0421959796815e-05
2004-09-18,0,1.587894,2.03821994566157e-05
2004-09-19,0,1.871197,2.03425660844792e-05
2004-09-20,2.26,1.978648,4.40958886176222e-05
2004-09-21,0,1.634728,8.52035060713108e-05
2004-09-22,1.32,1.840719,0.000104473913726128
2004-09-23,1.79,1.640583,0.000200502297034427
2004-09-24,14.07,1.869767,0.0484155761374194
2004-09-25,0.45,1.48158,0.192540016623877
2004-09-26,0.67,1.552072,0.123395929810935
2004-09-27,0.19,1.701439,0.0856267807184498
2004-09-28,0.17,1.707937,0.0623731838640546
2004-09-29,0.22,1.918793,0.0476218619957184
2004-09-30,0.24,1.802173,0.0376977149963749
2004-10-01,0,1.592697,0.0306707484010522
2004-10-02,1.83,1.870887,0.0264944587374136
2004-10-03,0,1.646764,0.0233740072363542
2004-10-04,0,1.448458,0.0199472316141069
2004-10-05,0,1.877995,0.017258237816182
2004-10-06,0.18,2.073062,0.0151113233762599
2004-10-07,6.15,1.500013,0.0288882439743593
2004-10-08,0,1.218998,0.0469159491752339
2004-10-09,0.46,1.205347,0.0375602198658555
2004-10-10,1.81,1.369293,0.033444515029773
2004-10-11,0,1.256048,0.0301435062854339
2004-10-12,0.03,1.158983,0.0251097116220669
2004-10-13,0.09,1.209478,0.0213042710037296
2004-10-14,0,1.27022,0.0183397582765583
2004-10-15,12.23,1.358412,0.0920185325773582
2004-10-16,6.52,1.145263,0.298898820950378
2004-10-17,7.73,1.05341,0.415318986975301
2004-10-18,8.21,1.068011,0.529711398257218
2004-10-19,3.43,1.118989,0.483537657574006
2004-10-20,0,1.071919,0.293310229341559
2004-10-21,26.45,1.69434,0.725537904028248
2004-10-22,6.71,1.454203,1.18312990638508
2004-10-23,0,1.153814,0.590699802837795
2004-10-24,0,1.585888,0.274721300372792
2004-10-25,1.91,1.457917,0.163300949342789
2004-10-26,0.13,1.476742,0.110870614793183
2004-10-27,0,1.06086,0.0771684294249693
2004-10-28,1.34,1.060081,0.0585092344193853
2004-10-29,11.48,1.32757,0.164320391348879
2004-10-30,9.61,1.257509,0.470050342644995
2004-10-31,1.02,1.106807,0.454854069093616
2004-11-01,0,1.089128,0.239535442338733
2004-11-02,0.51,1.114508,0.143097714097926
2004-11-03,2.28,1.132146,0.1052490944602
2004-11-04,0.87,1.165112,0.0855797918151597
2004-11-05,7.84,1.214399,0.144803174379517
2004-11-06,0,0.9872853,0.198074521579149
2004-11-07,5.06,0.9161867,0.180973051824786
2004-11-08,0.3,0.8776983,0.179541255299124
2004-11-09,2.13,0.7714481,0.132415947621932
2004-11-10,0,0.6820809,0.105994151532594
2004-11-11,7.52,0.6343335,0.167457972504724
2004-11-12,0.06,0.6871911,0.225439796030559
2004-11-13,0.32,0.7144714,0.137485140694358
2004-11-14,0.25,0.7467596,0.0939152230147943
2004-11-15,0.03,0.6498458,0.0678800515134297
2004-11-16,0,0.5261134,0.0511524522987648
2004-11-17,0.13,0.7804892,0.0401257322399217
2004-11-18,1.38,0.9692749,0.0339963241675836
2004-11-19,8.88,0.9393669,0.104998912297791
2004-11-20,5.37,0.6592451,0.285230625429918
2004-11-21,0,0.4911742,0.264703829300367
2004-11-22,1.16,0.5215181,0.164493927747836
2004-11-23,1.51,0.9227881,0.128726949261995
2004-11-24,3.09,0.943699,0.129238137586148
2004-11-25,0,0.5339188,0.119501911309055
2004-11-26,0,0.4981881,0.0819068716418653
2004-11-27,0.03,0.6245914,0.0599716106429441
2004-11-28,4.11,0.839671,0.0710819514722764
2004-11-29,0.04,0.8040129,0.0829810426179187
2004-11-30,0,0.7893474,0.0607187924519274
2004-12-01,0,0.6858214,0.0464594926872663
2004-12-02,4.03,0.6522361,0.0568717425142383
2004-12-03,0.91,0.6546811,0.0730846366729063
2004-12-04,0.34,0.6343503,0.0607149972029289
2004-12-05,0,0.4875218,0.0476992355470516
2004-12-06,0,0.4631441,0.0376950809853277
2004-12-07,0,0.6280405,0.0306437457240229
2004-12-08,0,0.6087703,0.0254766683122223
2004-12-09,0,0.6529787,0.0215697826920678
2004-12-10,0,0.5383515,0.018538622519499
2004-12-11,0,0.422851,0.0161356858687272
2004-12-12,0,0.3872977,0.0141956707056289
2004-12-13,0,0.3944114,0.0126046724369171
2004-12-14,0,0.3857142,0.0112820685111833
2004-12-15,0,0.363615,0.0101694493227963
2004-12-16,0,0.3932182,0.00922362559800676
2004-12-17,4.62,0.4902821,0.0192502563630538
2004-12-18,17.88,0.6691674,0.333049616212452
2004-12-19,2.04,0.611173,0.701454575957992
2004-12-20,5.29,0.5502534,0.476716698959311
2004-12-21,0,0.3892653,0.358890492089162
2004-12-22,0.12,0.3102131,0.193333036365965
2004-12-23,1.32,0.4280471,0.134029805265867
2004-12-24,3.09,0.6583146,0.139752431863572
2004-12-25,5.01,0.8281793,0.213653137493858
2004-12-26,7.73,0.6941871,0.390012647536989
2004-12-27,0,0.5527822,0.391035349593886
2004-12-28,0,0.4746404,0.204636596543497
2004-12-29,5.72,0.4642913,0.214472577002312
2004-12-30,4.41,0.5442014,0.321656440985931
2004-12-31,0.03,0.5549419,0.270883337628543
2005-01-01,1.26,0.6894726,0.168400194112244
2005-01-02,2.69,0.8096346,0.150096434794323
2005-01-03,1.61,0.6931758,0.147731704707765
2005-01-04,0.55,0.6132231,0.119144033139998
2005-01-05,0.03,0.6386116,0.0859392763036461
2005-01-06,3.78,0.6912808,0.0957551739327122
2005-01-07,1.83,0.7893056,0.125353678130661
2005-01-08,0.06,0.9149299,0.104315282299825
2005-01-09,1.97,0.8233667,0.0854590726895074
2005-01-10,0.07,0.7597027,0.0745515331524268
2005-01-11,1.94,0.9431185,0.0642664358952876
2005-01-12,1.97,0.8727531,0.0695024859113835
2005-01-13,4.68,0.8354181,0.117057631426395
2005-01-14,0.04,0.6119324,0.144599120860553
2005-01-15,0,0.4819481,0.0958478048109005
2005-01-16,0,0.4505649,0.0683185789052768
2005-01-17,0,0.3954557,0.0513907485591455
2005-01-18,5.88,0.5186266,0.0920874940600046
2005-01-19,17.98,0.7058651,0.587560974232329
2005-01-20,0.63,0.6284215,0.864279648323194
2005-01-21,11.24,0.902652,0.679712867278442
