"Date","P","E","MVIII_Q_sim"
2004-09-02,0,2.113637,0
2004-09-03,0,2.284305,0
2004-09-04,0,2.757288,0
2004-09-05,0,2.852728,0
2004-09-06,0,2.882288,0
2004-09-07,0,2.759263,0
2004-09-08,0,2.680601,0
2004-09-09,0,2.677378,0
2004-09-10,0,2.387042,0
2004-09-11,0,2.376496,0
2004-09-12,2.56,2.716567,0.0963266015437161
2004-09-13,0.4,2.149183,0.0334385498166372
2004-09-14,0,2.107571,0.0115066759602791
2004-09-15,1.41,1.976001,0.0709678006558077
2004-09-16,0.28,1.704098,0.0334545409698914
2004-09-17,0,1.448402,0.0164632756486895
2004-09-18,0,1.587894,0.0136342272201806
2004-09-19,0,1.871197,0.0131031162137336
2004-09-20,2.26,1.978648,0.125458585411599
2004-09-21,0,1.634728,0.035224298818849
2004-09-22,1.32,1.840719,0.0831481907809061
2004-09-23,1.79,1.640583,0.13700733253172
2004-09-24,14.07,1.869767,2.39592547884572
2004-09-25,0.45,1.48158,1.36909026307625
2004-09-26,0.67,1.552072,0.663491507874256
2004-09-27,0.19,1.701439,0.198724055622202
2004-09-28,0.17,1.707937,0.0973740458979123
2004-09-29,0.22,1.918793,0.0826518461408279
2004-09-30,0.24,1.802173,0.0819981091858211
2004-10-01,0,1.592697,0.0721612726907194
2004-10-02,1.83,1.870887,0.160081082185101
2004-10-03,0,1.646764,0.0870341920979125
2004-10-04,0,1.448458,0.07581172873072
2004-10-05,0,1.877995,0.0733742935000199
2004-10-06,0.18,2.073062,0.0789881681152447
2004-10-07,6.15,1.500013,0.870232361291417
2004-10-08,0,1.218998,0.328329313155361
2004-10-09,0.46,1.205347,0.173014582981194
2004-10-10,1.81,1.369293,0.234003647755586
2004-10-11,0,1.256048,0.11987663183101
2004-10-12,0.03,1.158983,0.0993209475589584
2004-10-13,0.09,1.209478,0.097927549392069
2004-10-14,0,1.27022,0.0922196787367235
2004-10-15,12.23,1.358412,2.16322377272139
2004-10-16,6.52,1.145263,2.55538085317876
2004-10-17,7.73,1.05341,3.11433092607394
2004-10-18,8.21,1.068011,3.61239290163755
2004-10-19,3.43,1.118989,2.98680551437
2004-10-20,0,1.071919,1.85955454026754
2004-10-21,26.45,1.69434,6.24217807339754
2004-10-22,6.71,1.454203,5.45149413222002
2004-10-23,0,1.153814,3.61925928000572
2004-10-24,0,1.585888,2.17883986186178
2004-10-25,1.91,1.457917,1.57726357911106
2004-10-26,0.13,1.476742,0.788618357171319
2004-10-27,0,1.06086,0.421698472135603
2004-10-28,1.34,1.060081,0.427678450710342
2004-10-29,11.48,1.32757,2.31241085291941
2004-10-30,9.61,1.257509,3.30754916284205
2004-10-31,1.02,1.106807,2.32440943116554
2004-11-01,0,1.089128,1.42062152974617
2004-11-02,0.51,1.114508,0.874752081270526
2004-11-03,2.28,1.132146,0.840706433772822
2004-11-04,0.87,1.165112,0.568948103481077
2004-11-05,7.84,1.214399,1.72262566517498
2004-11-06,0,0.9872853,1.0282013257699
2004-11-07,5.06,0.9161867,1.58073406347247
2004-11-08,0.3,0.8776983,1.02354056276884
2004-11-09,2.13,0.7714481,1.0293566974424
2004-11-10,0,0.6820809,0.647807777154206
2004-11-11,7.52,0.6343335,1.89751392811144
2004-11-12,0.06,0.6871911,1.26205765074879
2004-11-13,0.32,0.7144714,0.856247582129232
2004-11-14,0.25,0.7467596,0.579342829279639
2004-11-15,0.03,0.6498458,0.436432749750137
2004-11-16,0,0.5261134,0.385799451304731
2004-11-17,0.13,0.7804892,0.374833460142316
2004-11-18,1.38,0.9692749,0.471873879355625
2004-11-19,8.88,0.9393669,1.95528686083326
2004-11-20,5.37,0.6592451,2.39225318820653
2004-11-21,0,0.4911742,1.66699335605529
2004-11-22,1.16,0.5215181,1.37486321606887
2004-11-23,1.51,0.9227881,1.11574351768034
2004-11-24,3.09,0.943699,1.24530681169335
2004-11-25,0,0.5339188,0.840083228812788
2004-11-26,0,0.4981881,0.586945312162623
2004-11-27,0.03,0.6245914,0.45259510276419
2004-11-28,4.11,0.839671,1.01076992096749
2004-11-29,0.04,0.8040129,0.628724657560844
2004-11-30,0,0.7893474,0.454343495869128
2004-12-01,0,0.6858214,0.401199120962143
2004-12-02,4.03,0.6522361,1.01368414784874
2004-12-03,0.91,0.6546811,0.822764391729126
2004-12-04,0.34,0.6343503,0.603834418637346
2004-12-05,0,0.4875218,0.465270698592116
2004-12-06,0,0.4631441,0.408044996307969
2004-12-07,0,0.6280405,0.383390072229087
2004-12-08,0,0.6087703,0.373712191804952
2004-12-09,0,0.6529787,0.368291836313279
2004-12-10,0,0.5383515,0.364195557850965
2004-12-11,0,0.422851,0.360460010567618
2004-12-12,0,0.3872977,0.356846664002181
2004-12-13,0,0.3944114,0.353297001184761
2004-12-14,0,0.3857142,0.349792849794639
2004-12-15,0,0.363615,0.346327121931547
2004-12-16,0,0.3932182,0.342896998852278
2004-12-17,4.62,0.4902821,1.12955016724182
2004-12-18,17.88,0.6691674,4.33500469816264
2004-12-19,2.04,0.611173,3.43396272527117
2004-12-20,5.29,0.5502534,3.47072344080397
2004-12-21,0,0.3892653,2.47377288448664
2004-12-22,0.12,0.3102131,1.80952369575941
2004-12-23,1.32,0.4280471,1.54240318342446
2004-12-24,3.09,0.6583146,1.64132593083812
2004-12-25,5.01,0.8281793,2.05189685615552
2004-12-26,7.73,0.6941871,2.94182094590414
2004-12-27,0,0.5527822,2.05374726703645
2004-12-28,0,0.4746404,1.44250605120417
2004-12-29,5.72,0.4642913,2.17106986524849
2004-12-30,4.41,0.5442014,2.40390828977498
2004-12-31,0.03,0.5549419,1.67872392454107
2005-01-01,1.26,0.6894726,1.36902690593284
2005-01-02,2.69,0.8096346,1.40184360061673
2005-01-03,1.61,0.6931758,1.24243107680602
2005-01-04,0.55,0.6132231,0.940820423389179
2005-01-05,0.03,0.6386116,0.64659062247728
2005-01-06,3.78,0.6912808,1.14361485915015
2005-01-07,1.83,0.7893056,1.07471530007104
2005-01-08,0.06,0.9149299,0.672482113875261
2005-01-09,1.97,0.8233667,0.772757571509868
2005-01-10,0.07,0.7597027,0.555840483845502
2005-01-11,1.94,0.9431185,0.674005816877078
2005-01-12,1.97,0.8727531,0.761168271535453
2005-01-13,4.68,0.8354181,1.36468979492287
2005-01-14,0.04,0.6119324,0.926846657151296
2005-01-15,0,0.4819481,0.666280088215327
2005-01-16,0,0.4505649,0.531821995514736
2005-01-17,0,0.3954557,0.474961113053492
2005-01-18,5.88,0.5186266,1.49854025555886
2005-01-19,17.98,0.7058651,4.63572987967045
2005-01-20,0.63,0.6284215,3.3846926840095
2005-01-21,11.24,0.902652,4.56435549873247
2005-01-22,5.7,0.7698514,4.32839900014826
2005-01-23,0.09,0.6219703,3.06772158623805
