"Date","P","E","MX_Q_sim"
2004-09-02,0,2.113637,0
2004-09-03,0,2.284305,0
2004-09-04,0,2.757288,0
2004-09-05,0,2.852728,0
2004-09-06,0,2.882288,0
2004-09-07,0,2.759263,0
2004-09-08,0,2.680601,0
2004-09-09,0,2.677378,0
2004-09-10,0,2.387042,0
2004-09-11,0,2.376496,0
2004-09-12,2.56,2.716567,0.0748325034312127
2004-09-13,0.4,2.149183,0.145735441286315
2004-09-14,0,2.107571,0.117236897274002
2004-09-15,1.41,1.976001,0.125563866384048
2004-09-16,0.28,1.704098,0.142864622611995
2004-09-17,0,1.448402,0.111818078958892
2004-09-18,0,1.587894,0.0809086188800303
2004-09-19,0,1.871197,0.0588347363185596
2004-09-20,2.26,1.978648,0.108960755748138
2004-09-21,0,1.634728,0.149838067250292
2004-09-22,1.32,1.840719,0.147019240740461
2004-09-23,1.79,1.640583,0.200166571812496
2004-09-24,14.07,1.869767,0.614393799442626
2004-09-25,0.45,1.48158,0.899507039839752
2004-09-26,0.67,1.552072,0.681676958881407
2004-09-27,0.19,1.701439,0.519103668885914
2004-09-28,0.17,1.707937,0.387382607817998
2004-09-29,0.22,1.918793,0.294177113703358
2004-09-30,0.24,1.802173,0.229790957811506
2004-10-01,0,1.592697,0.177421711905646
2004-10-02,1.83,1.870887,0.186093734171875
2004-10-03,0,1.646764,0.196383871925845
2004-10-04,0,1.448458,0.146325352808054
2004-10-05,0,1.877995,0.110532899250069
2004-10-06,0.18,2.073062,0.0901870914402194
2004-10-07,6.15,1.500013,0.256388848139321
2004-10-08,0,1.218998,0.38331964159058
2004-10-09,0.46,1.205347,0.294479770349364
2004-10-10,1.81,1.369293,0.285125559825782
2004-10-11,0,1.256048,0.268073979185385
2004-10-12,0.03,1.158983,0.199945480902601
2004-10-13,0.09,1.209478,0.153943923077355
2004-10-14,0,1.27022,0.1202968670405
2004-10-15,12.23,1.358412,0.453908289462991
2004-10-16,6.52,1.145263,0.912766266621706
2004-10-17,7.73,1.05341,1.09926853091628
2004-10-18,8.21,1.068011,1.28878215283555
2004-10-19,3.43,1.118989,1.29991891892786
2004-10-20,0,1.071919,1.05381532175507
2004-10-21,26.45,1.69434,1.56978462045843
2004-10-22,6.71,1.454203,2.20400102865531
2004-10-23,0,1.153814,1.81549381871202
2004-10-24,0,1.585888,1.31987503744676
2004-10-25,1.91,1.457917,1.02390058331417
2004-10-26,0.13,1.476742,0.820847125930622
2004-10-27,0,1.06086,0.613928832311419
2004-10-28,1.34,1.060081,0.502472092858257
2004-10-29,11.48,1.32757,0.776569624280513
2004-10-30,9.61,1.257509,1.25069522595324
2004-10-31,1.02,1.106807,1.26806216466021
2004-11-01,0,1.089128,0.9671635506583
2004-11-02,0.51,1.114508,0.734266624737477
2004-11-03,2.28,1.132146,0.638996057874711
2004-11-04,0.87,1.165112,0.586134658010916
2004-11-05,7.84,1.214399,0.717092855521194
2004-11-06,0,0.9872853,0.800457683141532
2004-11-07,5.06,0.9161867,0.757536434767699
2004-11-08,0.3,0.8776983,0.747996957662097
2004-11-09,2.13,0.7714481,0.640284885206408
2004-11-10,0,0.6820809,0.558293234589531
2004-11-11,7.52,0.6343335,0.662450680090478
2004-11-12,0.06,0.6871911,0.756452891039081
2004-11-13,0.32,0.7144714,0.583741236746198
2004-11-14,0.25,0.7467596,0.46668063294868
2004-11-15,0.03,0.6498458,0.37372505261841
2004-11-16,0,0.5261134,0.298841644260291
2004-11-17,0.13,0.7804892,0.248118571854058
2004-11-18,1.38,0.9692749,0.25473096641276
2004-11-19,8.88,0.9393669,0.534867313556396
2004-11-20,5.37,0.6592451,0.877984014039722
2004-11-21,0,0.4911742,0.839734100570653
2004-11-22,1.16,0.5215181,0.668966325224681
2004-11-23,1.51,0.9227881,0.596767753630182
2004-11-24,3.09,0.943699,0.606548598567963
2004-11-25,0,0.5339188,0.57021973221302
2004-11-26,0,0.4981881,0.440515823739699
2004-11-27,0.03,0.6245914,0.348540750642335
2004-11-28,4.11,0.839671,0.411488838163175
2004-11-29,0.04,0.8040129,0.466334905929786
2004-11-30,0,0.7893474,0.367480457937444
2004-12-01,0,0.6858214,0.295248602005466
2004-12-02,4.03,0.6522361,0.369857274821557
2004-12-03,0.91,0.6546811,0.461166244609485
2004-12-04,0.34,0.6343503,0.403658041018385
2004-12-05,0,0.4875218,0.332560390606272
2004-12-06,0,0.4631441,0.270071590768707
2004-12-07,0,0.6280405,0.225143612259444
2004-12-08,0,0.6087703,0.192753687568055
2004-12-09,0,0.6529787,0.169316552321777
2004-12-10,0,0.5383515,0.152273026816907
2004-12-11,0,0.422851,0.139796347053964
2004-12-12,0,0.3872977,0.130582544927602
2004-12-13,0,0.3944114,0.12370082238834
2004-12-14,0,0.3857142,0.118486749076701
2004-12-15,0,0.363615,0.11446602719154
2004-12-16,0,0.3932182,0.111300075135677
2004-12-17,4.62,0.4902821,0.253838510158714
2004-12-18,17.88,0.6691674,0.933251295581548
2004-12-19,2.04,0.611173,1.37143387387699
2004-12-20,5.29,0.5502534,1.25121543306012
2004-12-21,0,0.3892653,1.10891134866273
2004-12-22,0.12,0.3102131,0.830912711801658
2004-12-23,1.32,0.4280471,0.674419167987574
2004-12-24,3.09,0.6583146,0.659989350671107
2004-12-25,5.01,0.8281793,0.772060054118527
2004-12-26,7.73,0.6941871,1.00662796487484
2004-12-27,0,0.5527822,1.02185064319328
2004-12-28,0,0.4746404,0.767417186846889
2004-12-29,5.72,0.4642913,0.769225041522917
2004-12-30,4.41,0.5442014,0.926390169575401
2004-12-31,0.03,0.5549419,0.853652524983219
2005-01-01,1.26,0.6894726,0.69017500685112
2005-01-02,2.69,0.8096346,0.66194208457579
2005-01-03,1.61,0.6931758,0.65667819128223
2005-01-04,0.55,0.6132231,0.581570035267281
2005-01-05,0.03,0.6386116,0.47437651652839
2005-01-06,3.78,0.6912808,0.500713432634523
2005-01-07,1.83,0.7893056,0.586730248090831
2005-01-08,0.06,0.9149299,0.523677332196258
2005-01-09,1.97,0.8233667,0.478889808122708
2005-01-10,0.07,0.7597027,0.451661784900904
2005-01-11,1.94,0.9431185,0.42666099050093
2005-01-12,1.97,0.8727531,0.474672036486724
2005-01-13,4.68,0.8354181,0.598250702894538
2005-01-14,0.04,0.6119324,0.630933000080073
2005-01-15,0,0.4819481,0.491584094790396
2005-01-16,0,0.4505649,0.390335287347381
2005-01-17,0,0.3954557,0.317673690959104
2005-01-18,5.88,0.5186266,0.456649608369985
2005-01-19,17.98,0.7058651,1.16018077363388
2005-01-20,0.63,0.6284215,1.52390910032139
2005-01-21,11.24,0.902652,1.52475510314874
2005-01-22,5.7,0.7698514,1.72005381692126
2005-01-23,0.09,0.6219703,1.48019124540267
2005-01-24,0.58,0.5759695,1.12638315225387
