"Date","P","E","MII_Q_sim"
2004-09-02,0,2.113637,0.00299809047497109
2004-09-03,0,2.284305,0.00299570641738361
2004-09-04,0,2.757288,0.00299283267536726
2004-09-05,0,2.852728,0.0029898622907274
2004-09-06,0,2.882288,0.00298686382540405
2004-09-07,0,2.759263,0.00298399542630677
2004-09-08,0,2.680601,0.00298121085311622
2004-09-09,0,2.677378,0.00297843187758565
2004-09-10,0,2.387042,0.00297595524341805
2004-09-11,0,2.376496,0.00297349129719626
2004-09-12,2.56,2.716567,0.229517309108745
2004-09-13,0.4,2.149183,0.038340825949712
2004-09-14,0,2.107571,0.00297300340140189
2004-09-15,1.41,1.976001,0.127552354565427
2004-09-16,0.28,1.704098,0.0276931578697442
2004-09-17,0,1.448402,0.00297153269532751
2004-09-18,0,1.587894,0.00296988564587688
2004-09-19,0,1.871197,0.00296794716767635
2004-09-20,2.26,1.978648,0.202230858668632
2004-09-21,0,1.634728,0.00296935307557918
2004-09-22,1.32,1.840719,0.119305727640759
2004-09-23,1.79,1.640583,0.160983236834957
2004-09-24,14.07,1.869767,1.27026610050513
2004-09-25,0.45,1.48158,0.043518902010895
2004-09-26,0.67,1.552072,0.0633228295215385
2004-09-27,0.19,1.701439,0.0200913776788713
2004-09-28,0.17,1.707937,0.0182767157908054
2004-09-29,0.22,1.918793,0.0227486724774379
2004-09-30,0.24,1.802173,0.0245236337222604
2004-10-01,0,1.592697,0.00299500208725487
2004-10-02,1.83,1.870887,0.16720016895766
2004-10-03,0,1.646764,0.00299549147542877
2004-10-04,0,1.448458,0.00299397778553019
2004-10-05,0,1.877995,0.00299201855127454
2004-10-06,0.18,2.073062,0.0190665900288344
2004-10-07,6.15,1.500013,0.556851253418824
2004-10-08,0,1.218998,0.00300140998747135
2004-10-09,0.46,1.205347,0.0443860144636678
2004-10-10,1.81,1.369293,0.166135443152164
2004-10-11,0,1.256048,0.00300255822490564
2004-10-12,0.03,1.158983,0.00570081373640921
2004-10-13,0.09,1.209478,0.0110928199878646
2004-10-14,0,1.27022,0.00299901815227331
2004-10-15,12.23,1.358412,1.12112582653319
2004-10-16,6.52,1.145263,0.6044822162904
2004-10-17,7.73,1.05341,0.723837173249448
2004-10-18,8.21,1.068011,0.777383593587024
2004-10-19,3.43,1.118989,0.327957370806603
2004-10-20,0,1.071919,0.00307821382777537
2004-10-21,26.45,1.69434,2.60144092700953
2004-10-22,6.71,1.454203,0.668004293083983
2004-10-23,0,1.153814,0.00314827111787457
2004-10-24,0,1.585888,0.00314654148713806
2004-10-25,1.91,1.457917,0.192366309965698
2004-10-26,0.13,1.476742,0.0160157918509371
2004-10-27,0,1.06086,0.00314677333864755
2004-10-28,1.34,1.060081,0.135845528490788
2004-10-29,11.48,1.32757,1.15767220220915
2004-10-30,9.61,1.257509,0.981976399868031
2004-10-31,1.02,1.106807,0.107151078653116
2004-11-01,0,1.089128,0.00319303726989632
2004-11-02,0.51,1.114508,0.0551292577401023
2004-11-03,2.28,1.132146,0.235945266143968
2004-11-04,0.87,1.165112,0.092046211606086
2004-11-05,7.84,1.214399,0.812024936819656
2004-11-06,0,0.9872853,0.00321260548613783
2004-11-07,5.06,0.9161867,0.528235622628316
2004-11-08,0.3,0.8776983,0.0343438849666703
2004-11-09,2.13,0.7714481,0.224723968769584
2004-11-10,0,0.6820809,0.00322575487060284
2004-11-11,7.52,0.6343335,0.792702807786981
2004-11-12,0.06,0.6871911,0.00953763435024768
2004-11-13,0.32,0.7144714,0.0368201521628895
2004-11-14,0.25,0.7467596,0.029469924168569
2004-11-15,0.03,0.6498458,0.00638639244440857
2004-11-16,0,0.5261134,0.00323960220318144
2004-11-17,0.13,0.7804892,0.0168626037820673
2004-11-18,1.38,0.9692749,0.148039418657093
2004-11-19,8.88,0.9393669,0.945842906879158
2004-11-20,5.37,0.6592451,0.577219286386442
2004-11-21,0,0.4911742,0.00327048592250041
2004-11-22,1.16,0.5215181,0.127362823972651
2004-11-23,1.51,0.9227881,0.165035973082763
2004-11-24,3.09,0.943699,0.335480898041949
